radius,mass
18.647,2543.0
16.14096,4417.837
1.947,8.59
4.203375,57.2094
3.24,13.6
2.57807,22.2481
14.68376472,4767.426105
21.59,3932.0
20.8487041,2479.0615746
12.44196858,2542.627256
24.66,5403.0
15.91678,340.0781
10.87,874.0
16.02887,832.7146
15.064896,277.46559
14.033668,416.99296
11.410762,2437.7561
13.11,170.032
11.43,772.29
14.68,1102.82
14.46,352.78
16.42116,1051.973
13.00244,1608.2198
14.5717,705.5826
4.88,12.2
11.76945,982.0947
3.7,5.7
5.0,28.0
12.11,85.81
14.12334,184.3414
11.287,3302.11
10.704595,152.87623
10.0881,266.9772
11.1350206,6747.5309
11.309881,921.707
16.36514,266.9772
18.83108758,349.6112477
15.80466279,216.12331676
13.34,228.83
14.078504,145.88397
13.282665,940.7768
1.528,6.056
6.38913,69.28694
11.77,266.97
6.38913,47.6745
30.2643,3496.13
5.63,413.179
1.565,7.67
6.12,27.0
1.82,9.0
2.836,8.9
2.332,10.4
11.780659,953.49
12.44199,4131.79
1.95,8.75
3.67,14.67
3.94,10.18
1.9,4.0
1.16,1.62
2.733,8.41
1.193,2.09
2.61,22.7
2.13,3.34
0.88,4.0
4.2,14.0
1.264,1.86
1.217,1.84
0.699,0.633
1.09,1.75
2.63,7.6
8.4,53.83
4.26,23.201
1.343,3.0
1.331,1.9
1.577,4.91
1.24,1.45
1.98,3.02
16.47720163,6261.2196179
33.6,6356.0
20.1762,4767.45
14.179,3591.3
13.77583728,533.95172376
14.81827249,259.66580852
0.958,3.87
13.921578,169.08556
4.73,25.743
10.637341,67.06213
16.667783,287.95398
12.89035,731.96249
11.88154,616.5902
14.448,1332.605
11.76945,184.3414
11.153,62.61
12.688588,90.26372
12.968813,2765.121
9.718,2302.899
12.44199,1547.8321
12.10572,690.32676
12.21781,425.8922
14.5717,238.3725
13.339,180.202
6.333,18.751
11.6349,209.759
13.585,198.953
13.11453,279.6904
9.97601,190.38017
16.466021,232.96939
11.99,689.98
20.053,273.322
18.898,242.176
15.13215,2227.9883
14.930388,335.62848
14.616536,588.62116
13.204,371.528
9.247,84.857
17.609,190.372
14.986433,216.1244
19.392,195.457
22.97845,378.2177
14.348,331.801
14.359,210.395
13.922,111.871
15.984034,273.3338
14.392,156.684
15.838,549.823
14.056086,336.8998
14.437192,431.93097
13.50682174,97.57332095
11.309881,259.98494
14.773462,471.65972
10.581296,578.4506
14.84069045,189.42573057
16.432394,603.877
15.838317,587.9855
14.93036229,118.2321674
12.58768533,489.45574678
14.90797,351.51998
18.28184752,182.43350562
10.07687365,335.9446262
12.02723629,241.86741773
12.5428494,195.1466419
19.08889413,184.34047606
18.05766791,176.07693748
17.82231,248.86089
23.370765,108.0622
12.016048,230.10892
18.786284,1137.8314
15.905571,566.05523
20.96083,2154.8874
16.8135,430.34182
15.6926,241.86863
14.594118,556.2025
10.861521,167.17858
16.92559,270.1555
15.513256,759.6137
13.585308,188.15536
11.646151,339.76027
12.385945,689.6911
14.5717,1039.3041
8.709393,425.25654
14.986433,629.3034
13.092,427.463
10.682177,870.8542
20.84874,467.2101
15.636555,718.2958
14.12334,194.82979
19.61575,206.5895
16.8135,168.4499
13.383546,213.58176
14.022459,207.54299
15.479629,349.613
13.170575,224.38798
18.38276,279.6904
14.000041,292.4036
13.78707,378.85336
16.02887,299.07803
16.409976,388.38826
13.843115,1022.14128
6.792654,31.46517
6.882326,23.51942
17.59813,200.2329
11.43318,416.03947
17.71022,505.3497
14.90797,3082.951
15.6926,597.5204
13.22662,82.95363
11.960003,177.9848
14.414774,222.481
10.121727,54.98459
12.520453,117.27927
8.9672,77.23269
8.574885,112.19399
10.222608,75.64354
12.66617,123.9537
15.80469,244.09344
15.490838,711.9392
15.02006,189.10885
11.960003,241.5508
14.022459,292.72143
18.920792,191.33366
12.767051,1000.21101
12.273855,327.3649
12.621334,256.17098
11.186582,101.38777
12.923977,210.40346
13.394755,1080.622
11.825495,56.89157
13.529263,305.1168
18.819911,305.1168
16.824709,260.93843
15.815899,1694.0339
18.887165,460.8535
13.809488,410.0007
10.592505,183.38791
6.310667,38.1396
15.513256,4100.007
11.478016,117.5971
8.0973816,39.855882
11.56766808,464.02947422
9.90873894,156.05374784
12.09449018,835.570882
13.05846252,436.69623122
9.785457,46.08535
11.937585,266.02371
2.44,12.6
4.98,14.6
2.2,5.69
2.388,6.3
2.852,8.52
1.94,3.9
2.601,5.04
2.607,8.4
2.05,4.55
11.2089807,2542.627256
12.06086323,725.28442477
2.51,5.7
1.664,4.72
2.916,11.24
2.562,8.82
1.31,4.04
11.500434,131.89945
8.29466,120.7754
3.41,11.56
5.83,27.5
1.77,6.519
2.522,8.79
11.937585,1036.76146
3.53,11.2
2.6,24.1
12.542871,370.58978
3.39512346,9.6
3.08,7.2
3.04,5.8
17.317905,323.23311
14.4595851,3496.112477
1.72,7.42
14.01122587,8899.195396
16.36511182,4036.4207689
2.25,6.1
2.501,14.4
15.92,197.05
1.745,8.83
2.697,17.7
0.892,3.7
1.606,4.3361199
1.511,4.36
1.61,16.17
4.71,16.6
9.17,60.5
2.607,26.57
1.872,17.92
2.149,17.18
0.75,0.55
0.818,0.72
1.137,0.77
2.07506422,4.2
2.62,8.5
1.36354953,4.3
1.24,2.14
1.533,3.09
16.14096,371.8611
2.199,18.496
4.23,7.943
3.25,5.681
1.7,5.02
2.74,8.33
9.07303305,74.1
3.42633318,5.9
2.45,7.8
2.42763557,10.0
2.16351593,37.3
2.58229101,17.2
12.31,126.0
2.99,10.8
2.9,11.1
2.884,10.48
2.84,15.9
2.73,22.5
2.89646124,10.9
11.242627,1307.55262
1.613,5.6
2.16,7.25
2.49,17.2
7.39794,34.9613
1.46954368,2.8
3.11976057,18.4
3.89,42.44
2.35389,8.88262703
2.53,10.1
1.551,4.5
1.37,5.1
22.75427,1021.18779
16.8135,2860.47
2.56,7.8
2.48,9.4
3.0,379.0
3.82838127,8.3
3.42855926,7.0
2.4801338,19.1
11.7768,6991.57
